english,english_normalized,domain,primary_tamil,all_alternatives,sources
(ICPEM),(icpem),general,சுயேச்சையான கணினி புற இணைப்புச் சாதன தயாரிப்பாளர்கள்,சுயேச்சையான கணினி புற இணைப்புச் சாதன தயாரிப்பாளர்கள்,மணவை முஸ்தபா
. ag,. ag,general,ஏஜி,ஏஜி,மணவை முஸ்தபா
. army. mil,. army. mil,general,ஆர்மி. மில்,ஆர்மி. மில்,மணவை முஸ்தபா
. aw,. aw,general,. ஏடபிள்யூ,. ஏடபிள்யூ,மணவை முஸ்தபா
. az,. az,general,ஏஇஸ்ட்,ஏஇஸ்ட்,மணவை முஸ்தபா
. bak,. bak,general,பாக்,பாக்,மணவை முஸ்தபா
. bat,. bat,general,. பேட்,. பேட்,மணவை முஸ்தபா
. bc. ca,. bc. ca,general,. பி. சி. சிஏ,. பி. சி. சிஏ,மணவை முஸ்தபா
. bit newsgroups,. bit newsgroups,general,துண்மி செய்திக் குழுக்கள்; துண்மி செய்தி அரங்குகள்,துண்மி செய்திக் குழுக்கள்; துண்மி செய்தி அரங்குகள்,மணவை முஸ்தபா
. bj,. bj,general,. பிஜே,. பிஜே,மணவை முஸ்தபா
. bm,. bm,general,. பிஎம்,. பிஎம்,மணவை முஸ்தபா
. bmp,. bmp,general,. பிஎம்பீ,. பிஎம்பீ,மணவை முஸ்தபா
. bn,. bn,general,. பிஎன்,. பிஎன்,மணவை முஸ்தபா
. bo,. bo,general,. பிஒ,. பிஒ,மணவை முஸ்தபா
. bs,. bs,general,. பிஎஸ்,. பிஎஸ்,மணவை முஸ்தபா
. bt,. bt,general,. பி. டீ,. பி. டீ,மணவை முஸ்தபா
. bw,. bw,general,. பி. டபிள்யூ,. பி. டபிள்யூ,மணவை முஸ்தபா
. bz,. bz,general,. பிஇஸட்,. பிஇஸட்,மணவை முஸ்தபா
. ca,. ca,general,. சிஏ,. சிஏ,மணவை முஸ்தபா
. ca. us,. ca. us,general,. சிஏ. யுஎஸ்,. சிஏ. யுஎஸ்,மணவை முஸ்தபா
. cc,. cc,general,. சிசி,. சிசி,மணவை முஸ்தபா
. cf,. cf,general,. சிஏஃப்,. சிஏஃப்,மணவை முஸ்தபா
. cg,. cg,general,. சிஜி,. சிஜி,மணவை முஸ்தபா
. ch,. ch,general,. சிஹெச்,. சிஹெச்,மணவை முஸ்தபா
. ci,. ci,general,. சிஐ,. சிஐ,மணவை முஸ்தபா
. ck,. ck,general,. சிகே,. சிகே,மணவை முஸ்தபா
. cl,. cl,general,. சிஎல்,. சிஎல்,மணவை முஸ்தபா
. cm,. cm,general,. சிஎம்,. சிஎம்,மணவை முஸ்தபா
. cn,. cn,general,. சின்,. சின்,மணவை முஸ்தபா
. co,. co,general,. சிஓ,. சிஓ,மணவை முஸ்தபா
